"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 1","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 1","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 10","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 10","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 2","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 2","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 3","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 3","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 4","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 4","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 5","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 5","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 6","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 6","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 7","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 7","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 8","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 8","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 9","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 9","Season peak week",-1.88706964903238,1,11,0.151515151515152,"."
"US National","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"US National","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 1","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 10","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 2","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
